,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
5920,35912,3682,Hartsfield Jackson Atlanta International Airport,3621,San Antonio International Airport,40271,1239420,ATL,SAT
5921,35914,3682,Hartsfield Jackson Atlanta International Airport,4359,South Bend Regional Airport,35597,1088130,ATL,SBN
5922,35915,3682,Hartsfield Jackson Atlanta International Airport,4014,Louisville International Standiford Field,34863,1059003,ATL,SDF
5923,35916,3682,Hartsfield Jackson Atlanta International Airport,3577,Seattle Tacoma International Airport,99776,2808396,ATL,SEA
5924,35917,3682,Hartsfield Jackson Atlanta International Airport,3469,San Francisco International Airport,17262,524024,ATL,SFO
5925,35918,3682,Hartsfield Jackson Atlanta International Airport,4348,Springfield Branson National Airport,19932,625391,ATL,SGF
5926,35919,3682,Hartsfield Jackson Atlanta International Airport,3609,Shreveport Regional Airport,49761,1511880,ATL,SHV
5927,35921,3682,Hartsfield Jackson Atlanta International Airport,1840,Los Cabos International Airport,42987,1295446,ATL,SJD
5928,35922,3682,Hartsfield Jackson Atlanta International Airport,2890,Luis Munoz Marin International Airport,18760,561341,ATL,SJU
5929,35923,3682,Hartsfield Jackson Atlanta International Airport,3536,Salt Lake City International Airport,9017,265246,ATL,SLC
5930,35924,3682,Hartsfield Jackson Atlanta International Airport,3817,Sacramento International Airport,15252,449980,ATL,SMF
5931,35925,3682,Hartsfield Jackson Atlanta International Airport,3867,John Wayne Airport-Orange County Airport,40940,1267630,ATL,SNA
5932,35926,3682,Hartsfield Jackson Atlanta International Airport,4067,Sarasota Bradenton International Airport,49348,1459705,ATL,SRQ
5933,35927,3682,Hartsfield Jackson Atlanta International Airport,3678,St Louis Lambert International Airport,12614,389179,ATL,STL
5934,35928,3682,Hartsfield Jackson Atlanta International Airport,350,Stuttgart Airport,35082,1055299,ATL,STR
5935,35929,3682,Hartsfield Jackson Atlanta International Airport,2883,Cyril E. King Airport,41013,1275360,ATL,STT
5936,35930,3682,Hartsfield Jackson Atlanta International Airport,3745,Syracuse Hancock International Airport,50010,1556091,ATL,SYR
5937,35931,3682,Hartsfield Jackson Atlanta International Airport,3698,Tallahassee Regional Airport,22437,681428,ATL,TLH
5938,35932,3682,Hartsfield Jackson Atlanta International Airport,3646,Tampa International Airport,29211,887206,ATL,TPA
5939,35933,3682,Hartsfield Jackson Atlanta International Airport,4116,Tri-Cities Regional TN/VA Airport,19814,612428,ATL,TRI
5940,35934,3682,Hartsfield Jackson Atlanta International Airport,3855,Tulsa International Airport,17998,565604,ATL,TUL
5941,35935,3682,Hartsfield Jackson Atlanta International Airport,3636,Tucson International Airport,48134,1426088,ATL,TUS
5942,35936,3682,Hartsfield Jackson Atlanta International Airport,3676,McGhee Tyson Airport,101450,3164868,ATL,TYS
5943,35937,3682,Hartsfield Jackson Atlanta International Airport,5776,Valdosta Regional Airport,114411,3536469,ATL,VLD
