,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters
302,2665,3576,Miami International Airport,2897,Hato International Airport,\N,\N
303,2804,5967,Aniak Airport,5962,Holy Cross Airport,\N,\N
304,2805,5967,Aniak Airport,5964,Kalskag Airport,\N,\N
305,2806,5962,Holy Cross Airport,6713,Anvik Airport,\N,\N
306,2807,5964,Kalskag Airport,7098,Russian Mission Airport,\N,\N
307,2808,7098,Russian Mission Airport,5967,Aniak Airport,\N,\N
308,2809,7090,Shageluk Airport,5967,Aniak Airport,\N,\N
309,2822,3531,Kodiak Airport,7160,Akhiok Airport,\N,\N
310,2823,7160,Akhiok Airport,3531,Kodiak Airport,\N,\N
311,2824,7177,Ambler Airport,3693,Ralph Wien Memorial Airport,\N,\N
312,2825,7177,Ambler Airport,7117,Shungnak Airport,\N,\N
313,2826,7178,Buckland Airport,6755,Deering Airport,\N,\N
314,2827,7178,Buckland Airport,3693,Ralph Wien Memorial Airport,\N,\N
315,2828,6755,Deering Airport,7178,Buckland Airport,\N,\N
316,2829,6755,Deering Airport,3693,Ralph Wien Memorial Airport,\N,\N
317,2830,7184,Elim Airport,7185,Golovin Airport,\N,\N
318,2831,7184,Elim Airport,7190,Koyuk Alfred Adams Airport,\N,\N
319,2832,7184,Elim Airport,3615,Nome Airport,\N,\N
320,2833,6715,Gambell Airport,3615,Nome Airport,\N,\N
321,2834,6715,Gambell Airport,6724,Savoonga Airport,\N,\N
322,2835,7185,Golovin Airport,7184,Elim Airport,\N,\N
323,2836,7185,Golovin Airport,7188,White Mountain Airport,\N,\N
324,2837,7179,Bob Baker Memorial Airport,7181,Robert (Bob) Curtis Memorial Airport,\N,\N
325,2838,7179,Bob Baker Memorial Airport,3693,Ralph Wien Memorial Airport,\N,\N
326,2839,7190,Koyuk Alfred Adams Airport,3615,Nome Airport,\N,\N
327,2840,7190,Koyuk Alfred Adams Airport,7192,Shaktoolik Airport,\N,\N
328,2841,7183,Brevig Mission Airport,3615,Nome Airport,\N,\N
329,2842,7183,Brevig Mission Airport,7187,Wales Airport,\N,\N
330,2843,6719,Kivalina Airport,3693,Ralph Wien Memorial Airport,\N,\N
331,2844,3413,Cape Lisburne LRRS Airport,3693,Ralph Wien Memorial Airport,\N,\N
332,2845,7180,Kobuk Airport,7177,Ambler Airport,\N,\N
333,2846,7180,Kobuk Airport,3693,Ralph Wien Memorial Airport,\N,\N
334,2847,3615,Nome Airport,7184,Elim Airport,\N,\N
335,2848,3615,Nome Airport,6715,Gambell Airport,\N,\N
336,2849,3615,Nome Airport,7190,Koyuk Alfred Adams Airport,\N,\N
337,2850,3615,Nome Airport,3693,Ralph Wien Memorial Airport,\N,\N
338,2851,3615,Nome Airport,6723,Shishmaref Airport,\N,\N
339,2852,3615,Nome Airport,6724,Savoonga Airport,\N,\N
340,2853,3615,Nome Airport,7186,Teller Airport,9280,109189
341,2854,3615,Nome Airport,7194,Tin City Long Range Radar Station Airport,\N,\N
342,2855,3615,Nome Airport,7088,Unalakleet Airport,\N,\N
343,2856,3615,Nome Airport,7188,White Mountain Airport,\N,\N
344,2857,7181,Robert (Bob) Curtis Memorial Airport,7179,Bob Baker Memorial Airport,\N,\N
345,2858,7181,Robert (Bob) Curtis Memorial Airport,3693,Ralph Wien Memorial Airport,\N,\N
346,2859,3693,Ralph Wien Memorial Airport,7177,Ambler Airport,\N,\N
347,2860,3693,Ralph Wien Memorial Airport,7178,Buckland Airport,\N,\N
348,2861,3693,Ralph Wien Memorial Airport,6755,Deering Airport,\N,\N
349,2862,3693,Ralph Wien Memorial Airport,7179,Bob Baker Memorial Airport,\N,\N
350,2863,3693,Ralph Wien Memorial Airport,6719,Kivalina Airport,\N,\N
